Created By Broughy1322,,"This sheet contains a variety of useful information about all vehicles in GTA 5, such as prices, numbers of seats, where they can be bought, etc. This does not focus on vehicle performance and is primarily for information.",,,,,,,,,,,,,,,,,,,
Class,Vehicle,Key Attributes,,,Performance Improvements,,,,Acquiring,,,Storing & Upgrading,,Race Availability,,,Added To GTA,,,Model IDs,Notes
Commercial,Mule Custom,RWD,4,Maibatsu,,,,,Warstock,"95,760",Main Page,Nightclub,Property,,✔,✔,24/07,2018,After Hours,mule4,
Commercial,Packer,RWD,2,MTL,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,packer,
Commercial,Phantom,RWD,2,Jobuilt,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,"phantom, phantom4",
Commercial,Phantom Custom,RWD,5,Jobuilt,,,,,MOC,"1,225,000",Listed Source,Bunker,Property,,,,13/06,2017,Gunrunning,phantom3,Only available with a Mobile Operations Center
Commercial,Phantom Wedge,RWD,5,Jobuilt,,,,,Warstock,"2,553,600",Main Page,Warehouse,-,,✔,✔,13/12,2016,Import/Export,phantom2,
Commercial,Pounder,RWD,2,MTL,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,pounder,
Commercial,Pounder Custom,RWD,8,MTL,✔,,,,Warstock,"320,530",Main Page,Nightclub,Property,,✔,✔,24/07,2018,After Hours,pounder2,Barbed wire roof adds traction like a spoiler
Commercial,Stockade,RWD,4,Brute,,,,,Warstock,"1,850,000",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,"stockade, stockade3, stockade4",Bobcat Security variant purchasable as of Money Fronts update with identical performance to regular version
Commercial,Terrorbyte,RWD,4,Benefactor,,,,,Warstock,"1,375,000",Main Page,Nightclub,Property,,,,14/08,2018,After Hours,terbyte,
Compacts,Asbo,FWD,2,Maxwell,✔,,✔,,SSASA,"408,000",2 Door Tab,Garage,LSC,✔,✔,✔,12/12,2019,Diamond Casino Heist,asbo,
Compacts,Blista,FWD,2,Dinka,,,,,Traffic,0,Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,blista,
Compacts,Blista Kanjo,FWD,2,Dinka,✔,,✔,,SSASA,"580,000",2 Door Tab,Garage,LSC,✔,✔,✔,20/02,2020,Diamond Casino Heist,kanjo,
Compacts,Brioso 300,RWD,2,Grotti,✔,,,,SSASA,"610,000",2 Door Tab,Garage,LSC,✔,✔,✔,22/12,2020,Cayo Perico Heist,brioso2,Hood modification adds traction like a spoiler
Compacts,Brioso 300 Widebody,RWD,2,Grotti,✔,,,,Upgrade,"1,195,000",Benny's Workshop,Garage,LSC,✔,✔,✔,25/08,2022,Criminal Enterprises,brioso3,Acquired by upgrading Brioso 300 in Benny's
Compacts,Brioso R/A,AWD,2,Grotti,✔,,,,SSASA,"155,000",2 Door Tab,Garage,LSC,✔,✔,✔,12/07,2016,Cunning Stunts,brioso,
Compacts,Brioso R/A (HSW),AWD,2,Grotti,✔,,,,Upgrade,"1,252,500",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,28/04,2022,Expanded & Enhanced Edition,brioso_hsw,Acquired by upgrading Brioso R/A at Hao's Special Works
Compacts,Club,FWD,2,BF,✔,,✔,,SSASA,"1,280,000",2 Door Tab,Garage,LSC,✔,✔,✔,11/08,2020,Los Santos Summer Special,club,
Compacts,Dilettante,FWD,4,Karin,,,,,SSASA,"25,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,dilettante,
Compacts,Dilettante (Patrol),FWD,4,Karin,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,dilettante2,
Compacts,Issi,FWD,2,Weeny,,,,,SSASA,"18,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,issi2,
Compacts,Issi (Arena),RWD,2,Weeny,✔,✔,,✔,Upgrade,"1,449,000",Arena Workshop,Garage,LSC & Property,,,✔,11/12,2018,Arena War,"issi4, issi5, issi6",Acquired by upgrading Issi Classic in Arena Workshop
Compacts,Issi Classic,FWD,2,Weeny,✔,✔,,,SSASA,"360,000",2 Door Tab,Garage,LSC,✔,✔,✔,17/04,2018,SSA Super Sport Series,issi3,
Compacts,Panto,RWD,2,Benefactor,✔,,,,SSASA,"85,000",2 Door Tab,Garage,LSC,✔,✔,✔,17/06,2014,I'm Not A Hipster,panto,
Compacts,Prairie,FWD,2,Bollokan,✔,,,,SSASA,"25,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,prairie,
Compacts,Rhapsody,RWD,2,Declasse,✔,,,,SSASA,"140,000",2 Door Tab,Garage,LSC,✔,✔,✔,17/06,2014,I'm Not A Hipster,rhapsody,
Compacts,Weevil,RWD,2,BF,✔,,✔,,SSASA,"870,000",2 Door Tab,Garage,LSC,✔,✔,✔,22/12,2020,Cayo Perico Heist,weevil,
Coupes,Cognoscenti Cabrio,RWD,2,Enus,,,,,L.Motorsport,"185,000",14 May 2026,Garage,LSC,✔,,,17/09,2013,-,cogcabrio,
Coupes,Euros X32,RWD,2,Annis,✔,,✔,,L.Motorsport,"1,499,000",2 Door Tab,Garage,LSC,✔,✔,✔,25/06,2024,Bottom Dollar Bounties,eurosx32,
Coupes,Euros X32 (HSW),RWD,2,Annis,✔,,✔,,Upgrade,"2,699,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,25/06,2024,Bottom Dollar Bounties,eurosx32_hsw,Acquired by upgrading Euros X32 at Hao's Special Works
Coupes,Exemplar,RWD,4,Dewbauchee,,,,,L.Motorsport,"205,000",14 May 2026,Garage,LSC,✔,,,17/09,2013,-,exemplar,
Coupes,F620,RWD,2,Ocelot,,,,,SSASA,"80,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,f620,
Coupes,Felon,RWD,4,Lampadati,✔,,,,SSASA,"90,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,felon,
Coupes,Felon GT,RWD,2,Lampadati,,,,,SSASA,"95,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,felon2,
Coupes,FR36,RWD,2,Fathom,✔,,✔,,SSASA,"1,610,000",2 Door Tab,Garage,LSC,✔,✔,✔,12/12,2023,Chop Shop,fr36,
Coupes,Jackal,RWD,4,Ocelot,✔,,,,SSASA,"60,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,jackal,
Coupes,Kanjo SJ,FWD,2,Dinka,✔,,✔,,SSASA,"1,370,000",2 Door Tab,Garage,LSC,✔,✔,✔,22/09,2022,Criminal Enterprises,kanjosj,
Coupes,Oracle,RWD,4,Ubermacht,,,,,SSASA,"80,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,oracle2,
Coupes,Oracle XS,RWD,4,Ubermacht,,,,,SSASA,"82,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,oracle,
Coupes,Postlude,FWD,2,Dinka,✔,,✔,,SSASA,"1,310,000",2 Door Tab,Garage,LSC,✔,✔,✔,22/09,2022,Criminal Enterprises,postlude,
Coupes,Previon,RWD,2,Karin,✔,,✔,,SSASA,"1,490,000",2 Door Tab,Garage,LSC,✔,✔,✔,09/09,2021,Los Santos Tuners,previon,
Coupes,Sentinel,RWD,2,Ubermacht,✔,,,,SSASA,"95,000",2 Door Tab,Garage,LSC,✔,,,17/09,2013,-,sentinel2,
Coupes,Sentinel XS,RWD,2,Ubermacht,✔,,,,SSASA,"60,000",2 Door Tab,Garage,LSC,✔,,✔,17/09,2013,-,sentinel,
Coupes,Sentinel XS (HSW),RWD,2,Ubermacht,✔,,,,Upgrade,"1,434,000",LSCM Workshop,Garage,LSC & LSCM,✔,,✔,15/03,2022,Expanded & Enhanced Edition,sentinel_hsw,Acquired by upgrading Sentinel XS at Hao's Special Works
Coupes,Windsor,RWD,2,Enus,,,,,L.Motorsport,"845,000",2 Door Tab,Garage,LSC,✔,✔,✔,10/06,2015,Ill-Gotten Gains Part 1,windsor,
Coupes,Windsor Drop,RWD,4,Enus,,,,,L.Motorsport,"900,000",4 Door Tab,Garage,LSC,✔,✔,✔,07/06,2016,Finance and Felony,windsor2,
Coupes,Zion,RWD,2,Ubermacht,✔,,,,SSASA,"60,000",Traffic Spawn,Garage,LSC,✔,✔,✔,17/09,2013,-,zion,
Coupes,Zion Cabrio,RWD,2,Ubermacht,✔,,,,SSASA,"65,000",Traffic Spawn,Garage,LSC,✔,,,17/09,2013,-,zion2,
Cycles,BMX,RWD,1,-,,,,,P and M,800,Main Page,Garage,-,✔,✔,✔,17/09,2013,-,bmx,
Cycles,Cruiser,RWD,1,-,,,,,P and M,800,Main Page,Garage,-,✔,✔,✔,17/09,2013,-,cruiser,
Cycles,Fixter,RWD,1,-,,,,,-,-,-,-,-,,,,17/09,2013,-,fixter,Only available in single player
Cycles,Inductor,RWD,1,Coil,,,,✔,P and M,"50,000",Main Page,Garage,-,✔,✔,✔,20/07,2023,San Andreas Mercenaries,"inductor, inductor2",Junk Energy Inductor version also available - identical performance and stats
Cycles,Race Bike,RWD,1,-,,,,,P and M,"10,000",Main Page,Garage,-,✔,✔,✔,17/09,2013,-,"tribike, tribike2, tribike3",All race bikes are identical
Cycles,Scorcher,RWD,1,-,,,,,P and M,"2,000",Main Page,Garage,-,✔,✔,✔,17/09,2013,-,scorcher,
Drift,Chavos V6 (Drift),AWD,4,Dinka,,,,,Upgrade,"1,620,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,14/08,2025,Money Fronts,driftchavosv6,Acquired by adding drift modification in LSCM to the Chavos V6. Identical performance to stock version from race lobby.
Drift,Cheburek (Drift),AWD,4,RUNE,,,,,Upgrade,"345,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,06/02,2025,Agents Of Sabotage,driftcheburek,Acquired by adding drift modification in LSCM to the Cheburek. Identical performance to stock version from race lobby.
Drift,Cypher (Drift),AWD,2,Ubermacht,,,,,Upgrade,"1,750,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,25/06,2024,Bottom Dollar Bounties,driftcypher,Acquired by adding drift modification in LSCM to the Cypher. Identical performance to stock version from race lobby.
Drift,Dominator FX (Drift),AWD,2,Vapid,,,,,Upgrade,"1,750,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,14/08,2025,Money Fronts,driftdominator10,Acquired by adding drift modification in LSCM to the Dominator FX. Identical performance to stock version from race lobby.
Drift,Dominator GT (Drift),AWD,2,Vapid,,,,,Upgrade,"2,395,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,26/02,2026,A Safehouse in the Hills,driftdominator9,
Drift,Drift Tampa (Drift),AWD,2,Declasse,,,,,Upgrade,"1,195,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,drifttampa,Acquired by adding drift modification in LSCM to the Drift Tampa. Identical performance to stock version from race lobby.
Drift,Drift Walton L35,AWD,2,Declasse,,,,,SSASA,"1,403,750",2 Door Tab,Garage,LSC & LSCM,✔,✔,✔,14/08,2025,Money Fronts,driftl352,Drift modification applied as standard and cannot be removed. Identical performance to stock version from race lobby.
Drift,Drift Yosemite (Drift),AWD,2,Declasse,,,,,Upgrade,"1,508,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,driftyosemite,Acquired by adding drift modification in LSCM to the Drift Yosemite. Identical performance to stock version from race lobby.
Drift,Euros (Drift),AWD,2,Annis,,,,,Upgrade,"2,000,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,drifteuros,Acquired by adding drift modification in LSCM to the Euros. Identical performance to stock version from race lobby.
Drift,FR36 (Drift),AWD,2,Fathom,,,,,Upgrade,"1,810,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,driftfr36,Acquired by adding drift modification in LSCM to the FR36. Identical performance to stock version from race lobby.
Drift,Futo (Drift),AWD,2,Karin,,,,,Upgrade,"209,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,06/02,2025,Agents Of Sabotage,driftfuto2,Acquired by adding drift modification in LSCM to the Futo. Identical performance to stock version from race lobby.
Drift,Futo GTX (Drift),AWD,2,Karin,,,,,Upgrade,"1,790,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,driftfuto,Acquired by adding drift modification in LSCM to the Futo GTX. Identical performance to stock version from race lobby.
Drift,Gauntlet Hellfire (Drift),AWD,2,Bravado,,,,,Upgrade,"945,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,14/08,2025,Money Fronts,driftgauntlet4,Acquired by adding drift modification in LSCM to the Gauntlet Hellfire. Identical performance to stock version from race lobby.
Drift,Hardy (Drift),AWD,4,Anis,,,,,Upgrade,"1,580,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,14/08,2025,Money Fronts,drifthardy,Acquired by adding drift modification in LSCM to the Hardy. Identical performance to stock version from race lobby.
Drift,Jester Classic (Drift),AWD,2,Dinka,,,,,Upgrade,"990,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,06/02,2025,Agents Of Sabotage,driftjester3,Acquired by adding drift modification in LSCM to the Jester Classic. Identical performance to stock version from race lobby.
Drift,Jester RR (Drift),AWD,2,Dinka,,,,,Upgrade,"2,170,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,driftjester,Acquired by adding drift modification in LSCM to the Jester RR. Identical performance to stock version from race lobby.
Drift,Keitora (Drift),AWD,2,Shitzu,,,,,Upgrade,"1,010,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,26/02,2026,A Safehouse in the Hills,driftkeitora,
Drift,Nebula Turbo (Drift),AWD,2,Vulcar,,,,,Upgrade,"997,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,25/06,2024,Bottom Dollar Bounties,driftnebula,Acquired by adding drift modification in LSCM to the Nebula Turbo. Identical performance to stock version from race lobby.
Drift,Remus (Drift),AWD,2,Annis,,,,,Upgrade,"1,570,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,driftremus,Acquired by adding drift modification in LSCM to the Remus. Identical performance to stock version from race lobby.
Drift,RT3000 (Drift),AWD,2,Dinka,,,,,Upgrade,"1,915,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,26/02,2026,A Safehouse in the Hills,driftrt3000,
Drift,Sentinel Classic Widebody (Drift),AWD,2,Ubermacht,,,,,Upgrade,"1,550,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,25/06,2024,Bottom Dollar Bounties,driftsentinel,Acquired by adding drift modification in LSCM to the Sentinel Classic Widebody. Identical performance to stock version from race lobby.
Drift,Sentinel XS (Drift),AWD,2,Ubermacht,,,,,Upgrade,"295,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,26/02,2026,A Safehouse in the Hills,driftsentinel2,
Drift,Vorschlaghammer (Drift),AWD,4,Benefactor,,,,,Upgrade,"1,990,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,01/08,2024,Bottom Dollar Bounties,driftvorschlag,Acquired by adding drift modification in LSCM to the Vorschlaghammer. Identical performance to stock version from race lobby.
Drift,ZR350 (Drift),AWD,2,Annis,,,,,Upgrade,"1,815,000",LSCM Workshop,Garage,LSC & LSCM,✔,✔,✔,12/12,2023,Chop Shop,driftzr350,Acquired by adding drift modification in LSCM to the ZR350. Identical performance to stock version from race lobby.
Emergency,Ambulance,AWD,4,Brute,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,ambulance,
Emergency,Buffalo Cruiser,RWD,4,Bravado,✔,,✔,,Warstock,"4,435,000",Main Page,Garage,Property,,,,02/04,2026,A Safehouse in the Hills,polbuffalo,
Emergency,Buffalo STX Pursuit,RWD,4,Bravado,✔,,✔,,Warstock,"5,370,000",Main Page,Garage,Property,,,,02/04,2026,A Safehouse in the Hills,polbuffalo6,
Emergency,Burrito (Bail Enforcement),RWD,6,Declasse,,,,,Property,0,Listed Source,Bail Office,Property,,,,25/06,2024,Bottom Dollar Bounties,policet3,
Emergency,Caracara Pursuit,AWD,4,Vapid,✔,,✔,,Warstock,"5,335,000",Main Page,Garage,Property,,,,10/12,2024,Agents Of Sabotage,polcaracara,
Emergency,Coquette D10 Pursuit,RWD,2,Invetero,✔,,✔,,Warstock,"5,620,000",Main Page,Garage,Property,,,,19/12,2024,Agents Of Sabotage,polcoquette4,
Emergency,Dominator FX Interceptor,RWD,2,Vapid,✔,,✔,,Warstock,"4,950,000",Main Page,Garage,Property,,✔,,11/07,2024,Bottom Dollar Bounties,poldominator10,
Emergency,Dorado Cruiser,AWD,4,Bravado,✔,,,,Warstock,"5,005,000",Main Page,Garage,Property,,,,25/06,2024,Bottom Dollar Bounties,poldorado,
Emergency,FIB (Buffalo),RWD,4,Bravado,,,,,-,-,-,-,-,,✔,,17/09,2013,-,fbi,
Emergency,FIB (SUV),AWD,8,Declasse,,,,,-,-,-,-,-,,✔,,17/09,2013,-,fbi2,
Emergency,Fire Truck,RWD,8,MTL,,,,,Warstock,"1,457,000",Main Page,Pegasus,-,,✔,✔,17/09,2013,-,firetruk,
Emergency,Gauntlet Interceptor,RWD,2,Bravado,✔,,,,Warstock,"5,420,000",Main Page,Garage,Property,,,,07/03,2024,Chop Shop,polgauntlet,
Emergency,Greenwood Cruiser,RWD,4,Bravado,,,✔,,Warstock,"3,946,000",Main Page,Garage,Property,,,,25/06,2024,Bottom Dollar Bounties,polgreenwood,
Emergency,Impaler LX Cruiser,RWD,4,Declasse,✔,✔,,,Warstock,"4,800,000",Main Page,Garage,Property,,,,11/07,2024,Bottom Dollar Bounties,polimpaler6,
Emergency,Impaler SZ Cruiser,RWD,4,Declasse,✔,,,,Warstock,"4,720,000",Main Page,Garage,Property,,,,25/06,2024,Bottom Dollar Bounties,polimpaler5,
Emergency,Lifeguard,RWD,4,Declasse,,,,,Warstock,"865,000",28 May 2026,Garage,MOC,,,,17/09,2013,-,lguard,
Emergency,Outreach Faction,RWD,2,Willard,,,,,Warstock,"4,150,000",Main Page,Garage,Property,,,,19/12,2024,Agents Of Sabotage,polfaction2,
Emergency,Park Ranger,AWD,8,Declasse,,,,,Warstock,"2,100,000",Main Page,Garage,Property,✔,,,17/09,2013,-,pranger,Made available to purchase online with Chop Shop update
Emergency,Police Bike (2013),RWD,1,Western,,,,,-,-,-,-,-,,✔,,17/09,2013,-,policeb,
Emergency,Police Bike (2025),RWD,1,Western,,,,,Warstock,"4,960,000",Main Page,Garage & Clubhouse,Property,,,,17/06,2025,Money Fronts,policeb2,
Emergency,Police Cruiser (Buffalo),RWD,4,Bravado,,,,,-,-,-,-,-,,,,17/09,2013,-,police2,Only available in single player
Emergency,Police Cruiser (Interceptor),RWD,4,Vapid,,✔,,,-,-,-,-,-,,✔,,17/09,2013,-,police3,
Emergency,Police Cruiser (Stanier),RWD,4,Vapid,,,,,-,-,-,-,-,,,,17/09,2013,-,police,
Emergency,Police Rancher,AWD,4,Declasse,,,,,-,-,-,-,-,,,,17/09,2013,-,policeold1,Only available in single player
Emergency,Police Riot,RWD,8,Brute,,,,,Warstock,"3,280,000",Main Page,Pegasus,-,,✔,,17/09,2013,-,riot,Made available to purchase online with Chop Shop update
Emergency,Police Roadcruiser,RWD,4,Albany,,,,,-,-,-,-,-,,,,17/09,2013,-,policeold2,Only available in single player
Emergency,Police Transporter,RWD,4,Declasse,,,,,-,-,-,-,-,,,,17/09,2013,-,policet,
Emergency,Prison Bus,RWD,11,Vapid,,,,,Warstock,"731,000",Main Page,Pegasus,-,,✔,,17/09,2013,-,pbus,
Emergency,RCV,RWD,6,-,,,,,Warstock,"3,125,500",Main Page,Facility,Property,,✔,,12/12,2017,Doomsday Heist,riot2,
Emergency,Sheriff Cruiser,RWD,4,Vapid,,,,,-,-,-,-,-,,✔,,17/09,2013,-,sheriff,
Emergency,Sheriff SUV,AWD,8,Declasse,,,,,-,-,-,-,-,,✔,,17/09,2013,-,sheriff2,
Emergency,Stanier LE Cruiser,RWD,4,Vapid,,,,,Warstock,"4,690,000",Main Page,Garage,Property,,,,12/12,2023,Chop Shop,police5,
Emergency,Terminus Patrol,AWD,4,Canis,,,,,Warstock,"5,125,000",Main Page,Garage,Property,,,,10/12,2024,Agents Of Sabotage,polterminus,
Emergency,Unmarked Cruiser,RWD,4,Vapid,,,,,Warstock,"3,950,000",Main Page,Garage,Property,,✔,,17/09,2013,-,police4,Made available to purchase online with Chop Shop update
Helicopters,Akula,RWD,4,Buckingham,,,,,Warstock,"4,500,000",Main Page,Hangar,Property,,✔,✔,12/12,2017,Doomsday Heist,akula,
Helicopters,Annihilator,RWD,6,Western,,,,,Elitas,"1,825,000",Main Page,Hangar & Pegasus,-,✔,✔,,17/09,2013,-,annihilator,
Helicopters,Annihilator Stealth,RWD,6,Western,,,,,Warstock,"3,870,000",Main Page,Hangar,Property,,,,15/12,2020,Cayo Perico Heist,annihilator2,
Helicopters,Buzzard,RWD,4,Nagasaki,,,,,Warstock,"1,750,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,"buzzard, buzzard2",
Helicopters,Cargobob,RWD,10,Western,,,,,Warstock,"1,790,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,"cargobob, cargobob2, cargobob3, cargobob4",Jetsam version identical
Helicopters,Conada,RWD,4,Buckingham,,,,,Elitas,"2,450,000",Main Page,Hangar,Property,✔,✔,✔,26/07,2022,Criminal Enterprises,conada,
Helicopters,DH-7 Iron Mule,RWD,16,Buckingham,,,,,Warstock,"2,345,000",Main Page,Hangar,Property,✔,✔,,04/03,2025,Agents Of Sabotage,cargobob5,
Helicopters,FH-1 Hunter,RWD,2,-,,,,,Warstock,"4,123,000",Main Page,Hangar,Property,✔,✔,✔,21/11,2017,Smuggler's Run,hunter,
Helicopters,Frogger,RWD,4,Maibatsu,,,,,Elitas,"1,300,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,"frogger, frogger2",
Helicopters,Havok,RWD,1,Nagasaki,,,,,Elitas,"2,300,900",Main Page,Hangar,Property,✔,✔,✔,29/08,2017,Smuggler's Run,havok,
Helicopters,Maverick,RWD,4,Buckingham,,,,,Elitas,"780,000",Main Page,Hangar & Pegasus,-,✔,✔,✔,17/09,2013,-,"maverick, maverick2",
Helicopters,Police Maverick,RWD,4,Buckingham,,,,,-,-,-,-,-,✔,✔,,17/09,2013,-,polmav,
Helicopters,Savage,RWD,4,-,,,,,Warstock,"2,593,500",Main Page,Hangar & Pegasus,-,✔,✔,✔,10/03,2015,Heists,savage,
Helicopters,Sea Sparrow,RWD,2,-,,,,,Elitas,"1,815,000",Main Page,Hangar,Property,✔,✔,✔,17/04,2018,SSA Super Sport Series,seasparrow,
Helicopters,Skylift,RWD,2,HVY,,,,,-,-,-,-,-,,✔,✔,17/09,2013,-,skylift,Only available in single player
Helicopters,Sparrow,RWD,2,-,,,,,Submarine,"1,815,000",Listed Source,Submarine,-,,,,15/12,2020,Cayo Perico Heist,seasparrow2,
