Created By Broughy1322,,"Ordered by class, then race tier where applicable, then lap time. More info -> https://broughy.com/cartesting",,,,,,
Class,Vehicle,Tier,Lap Time (m:ss.000),Lap Time Position,,Top Speed (mph),Top Speed Position,
Emergency,Park Ranger,-,1:16.293,21,481,102,22,468
Emergency,Sheriff Cruiser,-,1:16.343,22,483,102.25,21,464
Emergency,Lifeguard,-,1:18.238,23,509,103,19,454
Emergency,Sheriff SUV,-,1:19.345,24,527,96.5,28,538
Emergency,FIB (SUV),-,1:19.413,25,528,96.5,29,539
Emergency,Police Roadcruiser,-,1:19.867,26,533,101.5,24,474
Emergency,Burrito (Bail Enforcement),-,1:22.876,27,556,102,23,470
Emergency,Ambulance,-,1:23.483,28,560,98,26,527
Emergency,Police Rancher,-,1:25.337,29,578,89.5,32,582
Emergency,Police Transporter,-,1:28.472,30,588,91,31,570
Emergency,Fire Truck,-,1:29.340,31,595,96,30,543
Emergency,RCV,-,1:30.007,32,597,96.75,27,536
Emergency,Police Riot,-,1:39.132,33,612,86.25,33,592
Emergency,Prison Bus,-,1:56.617,34,651,65.25,34,644
Industrial,Guardian,-,1:17.044,1,497,100.75,1,486
Industrial,Flatbed,-,1:36.096,2,605,77,5,619
Industrial,Custom Flatbed,-,1:36.129,3,606,77,6,620
Industrial,Mixer (3-Axle),-,1:42.669,4,622,85.25,2,598
Industrial,Rubble,-,1:42.953,5,623,78,4,618
Industrial,Mixer (4-Axle),-,1:43.971,6,627,82.25,3,608
Industrial,Tipper (2-Axle),-,1:44.237,7,630,71,8,631
Industrial,Tipper (3-Axle),-,1:46.787,8,637,74,7,625
Industrial,Dump,-,3:03.133,9,658,32.25,9,658
Industrial,Dock Handler,-,3:05.852,10,659,32,10,659
Industrial,Cutter,-,3:08.049,11,660,31.25,11,660
Industrial,Dozer,-,8:38.251,12,665,11,12,665
Military,Barrage,-,1:12.339,1,403,108.5,2,382
Military,Scarab,-,1:24.150,2,568,74.25,6,623
Military,Crusader,-,1:24.735,3,571,90.5,3,577
Military,APC,-,1:28.872,4,592,63,8,645
Military,Barracks Semi,-,1:37.163,5,607,83.25,5,607
Military,Thruster,-,1:39.550,6,614,127,1,76
Military,Barracks,-,1:41.101,7,619,84.25,4,599
Military,Chernobog,-,1:48.491,8,640,70.75,7,634
Military,Half-Track,-,1:51.061,9,644,58,10,650
Military,Vetir,-,1:51.178,10,645,63,9,646
Military,TM-02 Khanjali,-,2:19.189,11,654,42.25,11,654
Military,Rhino Tank,-,2:23.910,12,655,40.75,12,655
Military,Invade and Persuade Tank,-,3:38.443,13,663,26.75,13,663
Muscle,Vigero ZX (HSW),S,1:02.062,1,87,158,2,5
Muscle,Vigero ZX Convertible (HSW),S,1:02.079,2,88,158,3,6
Muscle,Buffalo EVX (HSW),S,1:02.546,3,101,144.75,4,18
Muscle,Dominator GT,S,1:02.880,4,107,123,14,129
Muscle,Buffalo STX,S,1:03.147,5,118,126,8,85
Muscle,Dominator FX,S,1:03.880,6,143,122,15,152
Muscle,Dominator ASP,A,1:05.182,7,198,118.75,22,220
Muscle,Vigero ZX,A,1:05.208,8,200,125,10,107
Muscle,Vigero ZX Convertible,A,1:05.299,9,204,125,11,108
Muscle,Weevil Custom,A,1:05.365,10,207,137.5,6,26
Muscle,Arbiter GT (HSW),A,1:05.399,11,210,142,5,21
Muscle,Yosemite,A,1:05.532,12,215,115,33,286
Muscle,Buffalo EVX,A,1:06.132,13,229,119,21,214
Muscle,Dominator GTT,B,1:06.306,14,237,115,34,287
Muscle,Clique,B,1:06.399,15,240,116.25,27,267
Muscle,Drift Yosemite,B,1:06.600,16,253,107.5,63,395
Muscle,Sabre Turbo Custom,B,1:06.750,17,254,121.25,16,167
Muscle,Pisswasser Dominator,B,1:06.767,18,256,125,12,109
Muscle,Ruiner ZZ-8,B,1:06.817,19,259,116.25,28,268
Muscle,Impaler SZ,B,1:07.101,20,263,117,25,251
Muscle,Tampa GT (HSW),B,1:07.451,22,272,166,1,3
Muscle,Greenwood,C,1:07.434,21,270,119.5,19,205
Muscle,Impaler,C,1:07.902,23,290,115.75,30,277
Muscle,Dominator GTX,C,1:07.951,24,291,108.5,61,380
Muscle,Impaler LX,C,1:07.969,25,292,115.5,31,281
Muscle,Dominator,C,1:08.118,26,294,120.75,17,177
Muscle,Gauntlet Hellfire,C,1:09.019,29,309,125,13,110
Muscle,Dukes,D,1:08.619,27,299,112.75,43,326
Muscle,Blade,D,1:08.634,28,300,110.5,54,358
Muscle,Coquette BlackFin,D,1:09.135,30,314,115,35,289
Muscle,Ruiner,D,1:09.136,31,315,119.5,20,206
Muscle,Sabre Turbo,D,1:09.452,32,321,111.25,49,349
Muscle,Duke O'Death,D,1:09.519,33,323,114.5,36,297
Muscle,Vamos,E,1:09.753,34,330,110.75,52,356
Muscle,Tulip,E,1:09.904,35,334,112.25,46,337
Muscle,Arbiter GT,E,1:10.054,36,338,111.5,48,346
Muscle,Beater Dukes,E,1:10.153,37,341,112.5,44,333
Muscle,Hermes,E,1:10.270,38,345,115.5,32,282
Muscle,Tampa GT,E,1:10.303,39,346,130.5,7,52
Muscle,Slamvan Custom,E,1:10.354,40,348,118,24,240
Muscle,Gauntlet Classic Custom,E,1:10.537,41,351,125.25,9,100
Muscle,Tampa,F,1:10.688,42,356,105.75,65,416
Muscle,Tahoma Coupe,F,1:10.738,43,357,112.25,47,338
Muscle,Burger Shot Stallion,F,1:10.754,44,358,113.75,40,304
Muscle,Redwood Gauntlet,F,1:10.854,45,361,116.25,29,270
Muscle,Tulip M-100,F,1:10.938,47,365,116.75,26,258
Muscle,Deviant,G,1:10.904,46,364,108,62,391
Muscle,Stallion,G,1:11.055,48,367,110.75,53,357
Muscle,Phoenix,G,1:11.104,49,368,114,38,302
Muscle,Hustler,G,1:11.454,50,376,120.5,18,183
Muscle,Gauntlet,G,1:11.505,51,379,114,39,303
Muscle,Gauntlet Classic,G,1:11.589,52,383,109.5,55,367
Muscle,Buccaneer,H,1:12.055,53,393,113.25,41,312
Muscle,Buccaneer Custom,H,1:12.105,54,394,113.25,42,313
Muscle,Vigero,H,1:12.155,55,397,112.5,45,336
Muscle,Nightshade,H,1:12.489,56,407,105.25,68,428
Muscle,Faction Custom,H,1:12.989,57,417,111.25,50,350
Muscle,Peyote Gasser,H,1:12.991,58,418,118.5,23,226
Muscle,Ellie,H,1:13.172,59,421,105.5,66,418
Muscle,Lurcher,H,1:13.757,60,430,114.5,37,298
Muscle,Faction Custom Donk,I,1:14.608,61,447,98.25,77,523
Muscle,Virgo Classic Custom,I,1:14.808,62,451,104.5,69,435
Muscle,Faction,I,1:14.908,63,454,111.25,51,351
Muscle,Picador,I,1:15.059,64,458,102.25,71,462
Muscle,Moonbeam Custom,I,1:15.458,65,463,102.25,72,463
Muscle,Brigham,J,1:15.559,66,465,105.5,67,421
Muscle,Manana Custom,J,1:15.726,67,469,109,58,375
Muscle,Eudora,J,1:16.776,68,493,109,59,376
Muscle,Virgo,K,1:17.624,69,502,97.5,78,530
Muscle,Broadway,K,1:17.978,70,504,100,75,491
Muscle,Chino,L,1:18.028,71,507,94,81,558
Muscle,Hotknife,L,1:18.362,72,510,109.5,56,368
Muscle,Lost Slamvan,L,1:18.462,73,514,109.5,57,369
Muscle,Chino Custom,L,1:18.545,74,515,95.25,80,547
Muscle,Clique Wagon,M,1:19.296,75,526,91,82,569
Muscle,Moonbeam,M,1:19.729,76,532,102.25,73,465
Muscle,Virgo Classic,N,1:20.264,77,536,97,79,533
Muscle,Voodoo Custom,N,1:20.748,78,538,101,74,483
Muscle,Voodoo,N,1:21.882,79,546,99.5,76,500
Muscle,Rat-Truck,O,1:22.649,80,553,106,64,415
Muscle,Rat-Loader,O,1:23.734,81,564,103,70,455
Muscle,Slamvan,O,1:23.800,82,565,109,60,378
Muscle (NR),Impaler (Arena),-,1:04.398,1,170,129,3,55
Muscle (NR),Dominator (Arena),-,1:04.882,2,189,134,2,36
Muscle (NR),Imperator,-,1:05.916,3,223,135,1,34
Muscle (NR),Weaponized Tampa,-,1:09.986,4,335,112,6,342
Muscle (NR),Ruiner 2000,-,1:11.371,5,375,119,5,217
Muscle (NR),Slamvan (Arena),-,1:14.758,6,450,120,4,194
Off-Road,MonstroCiti (HSW),S,1:00.327,1,44,135.75,2,32
Off-Road,Firebolt ASP (HSW),S,1:00.828,2,61,139.25,1,23
Off-Road,Draugur,A,1:02.095,3,89,111.75,10,343
Off-Road,Vagrant,A,1:03.596,4,129,120.75,3,175
Off-Road,Terminus,A,1:04.197,5,161,119,5,213
Off-Road,Kamacho,B,1:04.864,6,188,116.5,6,260
Off-Road,Street Blazer,B,1:04.914,7,190,100,30,488
Off-Road,Firebolt ASP,C,1:05.515,8,214,113.5,7,307
Off-Road,Ratel,C,1:05.984,9,224,113,8,318
Off-Road,MonstroCiti,C,1:06.183,10,234,109.75,11,365
Off-Road,Desert Raid,D,1:06.549,11,248,106.75,16,405
Off-Road,Trophy Truck,D,1:06.561,12,249,106.75,17,406
Off-Road,Nightshark,D,1:06.750,13,255,105.25,19,425
Off-Road,Blazer,E,1:07.734,14,283,99.25,34,504
Off-Road,Hot Rod Blazer,E,1:07.744,15,285,99.25,35,505
Off-Road,Bifta,E,1:07.885,16,287,107.75,13,393
Off-Road,Dune Buggy,F,1:09.002,17,308,101,26,478
Off-Road,Brawler,F,1:09.252,18,318,119.25,4,210
Off-Road,Walton L35,F,1:09.337,19,320,105.25,20,426
Off-Road,Caracara 4x4,F,1:09.570,20,325,103.25,25,451
Off-Road,Yosemite 1500,F,1:09.586,21,326,106.25,18,410
Off-Road,Everon,F,1:09.637,22,327,107,14,399
Off-Road,Outlaw,G,1:10.036,23,337,91,40,567
Off-Road,Hellion,G,1:10.220,24,342,104,24,439
Off-Road,Boor,G,1:10.754,25,360,112.5,9,334
Off-Road,Yosemite Rancher,H,1:11.138,26,369,105,21,431
Off-Road,Walton L35 Stock,H,1:11.204,27,371,108.25,12,388
Off-Road,Riata,H,1:11.488,28,378,104.25,22,437
Off-Road,Freecrawler,H,1:11.695,29,385,99,36,507
Off-Road,Insurgent,I,1:12.607,30,408,98.75,37,508
Off-Road,Bodhi,I,1:12.956,31,414,99.5,33,495
Off-Road,Injection,I,1:13.156,32,420,107,15,402
Off-Road,Dubsta 6x6,J,1:15.125,33,459,104.25,23,438
Off-Road,Mesa (Merryweather),J,1:15.409,34,462,101,27,479
Off-Road,Patriot Mil-Spec,K,1:16.043,35,474,96,39,541
Off-Road,Rusty Rebel,K,1:16.076,36,476,101,28,480
Off-Road,Rebel,K,1:16.142,37,478,101,29,481
Off-Road,Marshall,L,1:16.559,38,490,81.25,44,609
Off-Road,Liberator,L,1:16.594,39,491,81.25,45,610
Off-Road,Sandking SWB,L,1:17.060,40,498,99.75,31,493
Off-Road,Sandking XL,M,1:17.994,41,505,99.75,32,494
Off-Road,Kalahari,M,1:18.363,42,511,90.75,41,572
Off-Road,Verus,N,1:20.597,43,537,84,42,600
Off-Road,Rancher XL,N,1:21.198,44,541,96.75,38,534
Off-Road,Blazer Lifeguard,N,1:22.288,45,549,83.75,43,602
Off-Road,Duneloader,O,1:30.874,46,598,79.5,46,612
Off-Road,Winky,O,1:32.158,47,600,72,47,628
Off-Road,Zhaba,O,1:37.998,48,609,62.25,48,647
Off-Road (NR),Blazer Aqua,-,1:05.283,1,203,99,9,506
Off-Road (NR),Sasquatch,-,1:05.366,2,208,116.5,2,263
Off-Road (NR),Ramp Buggy,-,1:05.448,3,212,113.25,3,309
Off-Road (NR),Brutus,-,1:08.601,4,298,120.25,1,187
Off-Road (NR),Ramp Buggy (Spoiler),-,1:10.317,5,347,106,5,412
Off-Road (NR),Insurgent Pick-Up Custom,-,1:11.906,6,390,98.5,10,513
Off-Road (NR),Caracara,-,1:12.703,7,411,100.75,7,484
Off-Road (NR),Menacer,-,1:13.440,8,425,94,12,556
Off-Road (NR),Dune FAV,-,1:13.740,9,429,99.5,8,496
Off-Road (NR),Technical Aqua,-,1:14.341,10,441,93.25,13,560
Off-Road (NR),Technical Custom,-,1:14.390,11,442,101.5,6,472
Off-Road (NR),Insurgent Pick-Up,-,1:16.993,12,494,92.5,14,562
Off-Road (NR),Technical,-,1:18.028,13,506,94.5,11,553
Off-Road (NR),Bruiser,-,1:18.762,14,518,109,4,377
Off-Road (NR),Space Docker,-,1:23.139,15,557,87.75,15,584
Off-Road (NR),RC Bandito,-,1:39.616,16,615,59.5,16,648
Open Wheel,BR8,S,0:54.555,1,1,121,1,168
Open Wheel,PR4,A,0:56.356,2,8,116.5,4,259
Open Wheel,DR1,A,0:56.473,3,9,118.5,2,222
Open Wheel,R88,A,0:56.540,4,10,117.5,3,244
Sedans,Chavos V6,S,1:04.564,1,174,115.5,8,279
Sedans,Cinquemila,S,1:04.581,2,175,120.5,6,179
Sedans,Tailgater S,S,1:04.732,3,182,116,7,274
Sedans,Rhinehart,S,1:04.748,4,183,123,4,130
Sedans,Schafter V12 (Armored),S,1:04.749,5,184,125,3,106
Sedans,Minimus,S,1:04.998,6,193,115,9,285
Sedans,Sentinel XS4,A,1:06.416,7,241,127.25,2,72
Sedans,Vorschlaghammer,A,1:07.000,8,261,122.75,5,135
Sedans,Asterope GZ,A,1:07.234,9,265,113.25,12,311
Sedans,Hardy,A,1:07.498,10,276,128.25,1,59
Sedans,Schafter,B,1:08.669,11,301,111.5,15,345
Sedans,Glendale Custom,B,1:08.685,12,302,111.25,16,348
Sedans,Schafter LWB (Armored),B,1:09.035,13,311,108,22,390
Sedans,Deity,B,1:09.236,14,317,115,10,290
Sedans,Tailgater,C,1:10.872,15,362,105,29,430
Sedans,Fugitive,D,1:11.655,16,384,108.25,21,389
Sedans,Primo Custom,D,1:11.705,17,386,103.5,32,448
Sedans,Primo,D,1:11.972,18,392,103.5,33,449
Sedans,Intruder,D,1:12.256,19,399,107.25,24,397
Sedans,Warrener,E,1:12.306,20,401,104,31,440
Sedans,Washington,E,1:12.439,21,406,108.5,20,384
Sedans,Warrener HKR,E,1:12.823,22,412,107,25,400
Sedans,Asterope,E,1:12.873,23,413,105.25,28,429
Sedans,Cognoscenti 55,E,1:12.957,24,415,113.25,13,314
Sedans,Cognoscenti 55 (Armored),E,1:13.223,25,422,113,14,322
Sedans,Stanier,E,1:13.540,26,427,109,19,374
Sedans,Glendale,F,1:14.074,27,435,107.5,23,396
Sedans,Stratum,F,1:14.191,28,437,105.5,27,419
Sedans,Premier,F,1:14.391,29,443,104.75,30,434
Sedans,Surge,G,1:14.643,30,448,94,34,557
Sedans,Asea,G,1:14.708,31,449,106.5,26,408
Sedans,Super Diamond,G,1:14.908,32,452,113.75,11,305
Sedans,Cognoscenti,H,1:15.959,33,472,110.5,17,360
Sedans,Cognoscenti (Armored),H,1:16.057,34,475,110.25,18,361
Sedans,Stafford,I,1:21.348,35,543,93.5,35,559
Sedans,Ingot,J,1:23.667,36,562,90.25,38,579
Sedans,Romero Hearse,J,1:24.318,37,569,89.75,39,581
Sedans,Emperor,K,1:25.251,38,576,90.75,36,573
Sedans,Emperor Beater,K,1:25.272,39,577,90.75,37,574
Sedans,Regina,L,1:31.274,40,599,86.25,40,591
Sedans (NR),Turreted Limo,-,1:19.429,1,529,90,2,580
Sedans (NR),Stretch,-,1:26.268,2,582,95,1,551
Service,Taxi Custom,-,1:10.130,1,340,110,1,363
Service,Vivanite (KnoWay),-,1:12.655,2,410,101.5,3,471
Service,Dune,-,1:14.992,3,456,91.5,4,564
Service,Taxi,-,1:15.776,4,471,102.5,2,460
Service,Wastelander,-,1:16.143,5,479,91,5,568
Service,Brickade 6x6,-,1:25.783,6,580,90.5,6,578
Service,Brickade,-,1:27.570,7,585,83.75,8,603
Service,Tour Bus,-,1:44.653,8,631,66,10,640
Service,Rental Shuttle Bus,-,1:44.688,9,632,66,11,641
Service,Trashmaster,-,1:45.238,10,633,84,7,601
Service,Airport Bus,-,1:52.511,11,646,66,12,642
Service,Bus,-,1:52.564,12,647,66,13,643
Service,Dashound,-,1:56.199,13,650,71.75,9,629
Service,Festival Bus,-,2:06.477,14,652,59.5,14,649
Sports,Niobe (HSW),S,0:55.389,1,4,159.5,3,4
Sports,La Coureuse (HSW),S,0:56.139,2,7,142.5,6,19
Sports,Banshee GTS (HSW),S,0:57.574,3,12,172.5,1,1
Sports,Stinger TT (HSW),A,0:59.292,4,28,168.5,2,2
Sports,Itali GTO,A,0:59.359,5,30,128,17,61
Sports,S95 (HSW),A,0:59.559,6,34,156.5,4,8
Sports,Niobe,A,0:59.726,7,38,127.25,20,70
Sports,Paragon S,B,1:00.443,8,46,127.5,19,66
Sports,Banshee GTS,B,1:00.621,9,50,138,7,25
Sports,Pariah,B,1:00.644,10,52,136,8,31
Sports,Banshee (HSW),B,1:00.677,11,53,152.75,5,11
Sports,La Coureuse,B,1:00.811,12,58,114.5,92,295
Sports,Itali RSX,B,1:00.844,13,62,134.5,9,35
Sports,Envisage,B,1:00.860,14,64,122,41,148
Sports,Coquette D5,B,1:00.861,15,65,130.75,14,49
Sports,Neo,C,1:00.977,16,67,125.25,27,97
Sports,Imorgon,C,1:01.060,17,68,106.75,108,404
Sports,Paragon R,C,1:01.361,18,74,123,34,128
Sports,Jugular,C,1:01.371,19,75,125,29,104
Sports,Rapid GT X,C,1:01.395,20,77,132.25,10,40
Sports,Comet SR,C,1:01.778,21,82,122,42,149
Sports,Corsita,C,1:01.812,22,83,131.25,13,45
Sports,Issi Sport,C,1:01.961,23,85,112.5,102,329
Sports,Sentinel GTS,C,1:02.045,24,86,132.25,11,41
Sports,Sultan Classic,D,1:02.145,25,94,117,78,249
Sports,Elegy RH8,D,1:02.279,26,95,118.75,69,218
Sports,LSCM Jester RR,D,1:02.379,27,96,118.25,72,227
Sports,Jester (Racecar),D,1:02.396,28,98,120.25,55,184
Sports,10F Widebody,D,1:02.546,29,102,128,18,63
Sports,Stinger TT,D,1:02.829,32,106,132,12,42
Sports,Sultan RS Classic,E,1:02.747,30,103,117.5,75,245
Sports,Vectre,E,1:02.762,31,104,116,86,272
Sports,Feltzer,E,1:02.913,33,108,120.25,56,185
Sports,Calico GTF,E,1:02.963,34,110,121,48,169
Sports,Jester,E,1:02.980,35,111,119.5,62,200
Sports,Growler,E,1:02.996,36,112,122,43,151
Sports,9F Cabrio,E,1:03.002,37,113,121.25,46,165
Sports,9F,E,1:03.056,38,115,121.25,47,166
Sports,8F Drafter,E,1:03.096,39,116,117.75,74,243
Sports,10F,E,1:03.180,40,119,126,22,86
Sports,Neon,E,1:03.196,41,121,114,94,301
Sports,Elegy Retro Custom,E,1:03.212,42,122,115.5,88,278
Sports,Massacro (Racecar),E,1:03.213,43,123,122.75,35,133
Sports,Massacro,E,1:03.364,44,125,122.75,36,134
Sports,Schlagen GT,E,1:03.462,45,127,125.5,26,96
Sports,Coquette D10,E,1:03.797,47,136,130.5,15,51
Sports,Raiden,F,1:03.697,46,133,113.25,96,308
Sports,Penumbra FF,F,1:03.798,48,137,113,98,316
Sports,Comet,F,1:03.846,49,138,119.75,60,195
Sports,300R,F,1:03.847,50,140,120,57,188
Sports,Seven-70,F,1:03.881,51,144,124,31,116
Sports,Jester RR,F,1:04.031,52,149,126,23,89
Sports,Bestia GTS,F,1:04.035,53,150,119,67,212
Sports,Euros,F,1:04.040,54,151,117.25,76,247
Sports,Specter Custom,F,1:04.047,55,152,121,49,171
Sports,Specter,F,1:04.082,56,155,121,50,172
Sports,Flash GT,F,1:04.097,57,156,116,87,273
Sports,V-STR,F,1:04.114,58,157,125.25,28,99
Sports,Revolter,F,1:04.115,59,158,116.75,81,256
Sports,Komoda,F,1:04.165,60,160,123.5,33,123
Sports,Sentinel Classic Widebody,F,1:04.248,62,165,127.25,21,71
Sports,Comet S2 Cabrio,F,1:04.298,63,167,129.25,16,54
Sports,Cypher,G,1:04.231,61,164,113.5,95,306
Sports,Surano,G,1:04.380,64,169,121,51,173
Sports,Omnis e-GT,G,1:04.431,65,171,111.5,104,344
Sports,SM722,G,1:04.481,66,172,123.75,32,120
Sports,Verlierer,G,1:04.582,67,176,122.25,40,146
Sports,Schafter V12,G,1:04.598,68,177,126,24,90
Sports,Comet Retro Custom,G,1:04.615,69,178,121.5,44,160
Sports,Comet S2,G,1:04.715,70,179,122.5,37,141
Sports,Sentinel Classic,G,1:04.732,71,181,117.25,77,248
Sports,Locust,H,1:04.981,72,191,119.5,63,202
Sports,Sultan,H,1:04.982,73,192,116.25,84,265
Sports,Banshee,H,1:05.131,74,194,118.5,70,223
Sports,S95,H,1:05.265,75,201,116.25,85,266
Sports,Carbonizzare,H,1:05.282,76,202,120,58,190
Sports,Alpha,H,1:05.315,77,205,118.5,71,224
Sports,Coquette,H,1:05.416,78,211,120,59,191
Sports,Remus,I,1:05.699,79,218,115.5,89,280
Sports,Jester Classic,I,1:05.749,80,221,119.75,61,197
Sports,Tropos Rallye,I,1:05.766,81,222,119.5,64,203
Sports,RT3000,I,1:06.033,82,226,119.25,66,209
Sports,Lynx,I,1:06.082,83,228,121.5,45,161
Sports,Panthere,I,1:06.133,84,230,122.5,38,142
Sports,Comet Safari,I,1:06.149,85,231,119,68,215
Sports,Kuruma,J,1:06.150,86,232,113,99,319
Sports,Hotring Hellfire,J,1:06.266,87,235,124.25,30,113
Sports,Hotring Sabre,J,1:06.300,88,236,122.5,39,143
Sports,Omnis,J,1:06.399,89,239,113.25,97,310
Sports,GB200,J,1:06.443,90,242,114.25,93,299
Sports,Hotring Everon,J,1:06.487,91,243,125.75,25,93
Sports,Sprunk Buffalo,J,1:06.800,92,258,115,90,288
Sports,ZR350,J,1:06.967,93,260,116.75,82,257
Sports,Drift Tampa,K,1:07.467,94,273,114.75,91,292
Sports,Rapid GT Cabrio,K,1:07.468,95,274,120.5,53,181
Sports,Rapid GT,K,1:07.475,96,275,120.5,54,182
Sports,Buffalo S,K,1:07.601,97,279,113,100,321
Sports,Khamelion,K,1:07.668,98,281,102,113,466
Sports,Kuruma (Armored),K,1:07.701,99,282,109.75,106,366
Sports,Furore GT,K,1:07.735,100,284,120.75,52,176
Sports,Ruston,K,1:07.784,101,286,116.5,83,264
Sports,Fusilade,K,1:07.902,102,288,117,79,253
Sports,Buffalo,K,1:08.135,103,296,112.75,101,325
Sports,Sugoi,L,1:08.786,104,303,118,73,239
Sports,Schafter LWB,L,1:08.869,105,304,109.25,107,370
Sports,Futo GTX,M,1:10.020,106,336,112.5,103,332
Sports,Schwartzer,M,1:10.671,107,356,117,80,255
Sports,Raptor,N,1:11.271,108,373,103.75,110,445
Sports,Futo,N,1:11.322,109,374,119.5,65,207
Sports,Penumbra,N,1:11.823,110,388,105.25,109,427
Sports,Streiter,N,1:11.872,111,389,110.5,105,359
