Created By Broughy1322,,"This sheet contains actual vehicle attributes taken directly from the game code. The most important attributes to vehicle performance are shown in an easy to read & understand format, but for the full story please see ""Handling Data (Full)"" sheet.",,,,,,,,,,,,,,,
Class,Vehicle,Speed,,,,,Acceleration,,,,,Braking,,Traction,,,Collisions
Compacts,Panto,0.27,100,0.324,11,132,RWD,0%,6,2.8,2.8,0.6,0.8,1.97,1.77,1,800
Compacts,Prairie,0.22,100,0.264,8,135,FWD,100%,5,1.6,1.6,0.6,0.65,1.95,1.55,1,"1,400"
Compacts,Rhapsody,0.23,100,0.276,8.3,133,RWD,0%,5,1.8,1.8,0.6,0.65,2.05,1.72,1,"1,350"
Compacts,Weevil,0.188,400,0.338,11,135,RWD,0%,4,2,2,0.26,0.5,1.78,1.6,0.9,820
Coupes,Cognoscenti Cabrio,0.26,100,0.312,8,145,RWD,0%,5,2,2,0.6,0.65,2.3,2,1,"2,100"
Coupes,Euros X32,0.28,100,0.336,9.5,151,RWD,0%,5,1.8,1.7,0.8,0.4,2.287,2.101,1,1545
Coupes,Euros X32 (HSW),0.28,125,0.350,9.5,151,RWD,0%,5,1.8,1.7,0.8,0.4,2.287,2.101,1,1545
Coupes,Exemplar,0.26,100,0.312,6.8,145,RWD,0%,6,2.2,2.2,0.9,0.425,2.6,2.45,1,"1,800"
Coupes,F620,0.24,100,0.288,6,145,RWD,0%,6,2.3,2.3,0.9,0.425,2.5,2.4,1,"1,800"
Coupes,Felon,0.24,100,0.288,6.8,145,RWD,0%,6,2,2,0.9,0.425,2.55,2.35,1,"1,800"
Coupes,Felon GT,0.24,100,0.288,7.8,145,RWD,0%,6,2,2,0.9,0.65,2.5,2.3,1,"1,850"
Coupes,FR36,0.301,200,0.421,8.9,153,RWD,0%,5,1.8,1.7,0.86,0.38,2.383,2.226,1,"1,515"
Coupes,Jackal,0.22,100,0.264,5.8,142.5,RWD,0%,6,2,2,0.9,0.425,2.6,2.45,1,"1,800"
Coupes,Kanjo SJ,0.315,120,0.391,10.95,141,FWD,100%,5,3.9,3.9,0.45,0.6,1.995,1.815,1,950
Coupes,Oracle,0.27,100,0.324,8,150,RWD,0%,5,1.9,1.9,0.9,0.425,2.25,1.95,1,"1,900"
Coupes,Oracle XS,0.26,100,0.312,8,150,RWD,0%,5,1.9,1.9,0.9,0.425,2.25,1.85,1,"1,850"
Coupes,Postlude,0.295,200,0.413,11.45,131,FWD,100%,5,3.7,3.7,0.4,0.6,1.985,1.725,1,"1,150"
Coupes,Previon,0.3185,120,0.395,9.825,149.45,RWD,0%,5,2.1,2.2,0.85,0.55,2.4865,2.3725,1,"1,300"
Coupes,Sentinel,0.21,100,0.252,5.5,142,RWD,0%,6,2.1,2.1,0.9,0.425,2.45,2.15,1,"1,400"
Coupes,Sentinel XS,0.21,200,0.294,5.5,142,RWD,0%,6,2.1,2.1,0.9,0.425,2.45,2.15,1,"1,400"
Coupes,Sentinel XS (HSW),0.21,228,0.306,5.5,142,RWD,0%,6,2.1,2.1,0.9,0.425,2.45,2.15,1,"1,400"
Coupes,Windsor,0.28,100,0.336,7.7,150,RWD,0%,5,1.8,1.8,0.7,0.65,2.2,1.85,1,"2,800"
Coupes,Windsor Drop,0.279,100,0.335,7.7,150,RWD,0%,5,1.8,1.8,0.7,0.65,2.2,1.845,1,"3,000"
Coupes,Zion,0.22,100,0.264,5.5,145,RWD,0%,6,1.9,1.9,0.9,0.425,2.6,2.45,1,"1,400"
Coupes,Zion Cabrio,0.22,100,0.264,5.5,145,RWD,0%,6,1.9,1.9,0.9,0.425,2.6,2.45,1,"1,400"
Cycles,BMX,0.16,-,-,60,50,RWD,0%,1,1,1,3,0.6,1.85,1.8,0,105
Cycles,Cruiser,0.08,-,-,20,45,RWD,0%,1,1,1,2.8,0.6,1.8,1.75,0.3,120
Cycles,Fixter,0.135,-,-,30,63,RWD,0%,1,2,2,0.4,0,1.85,1.8,0.4,110
Cycles,Inductor,0.112,-,-,75,75,RWD,0%,1,2,2,3.1,0.6,2.05,2.01,0.2,125
Cycles,Race Bike,0.135,-,-,20,63,RWD,0%,1,2,2,2.5,0.45,1.85,1.8,0.4,110
Cycles,Scorcher,0.17,-,-,60,55,RWD,0%,1,2,2,2.8,0.6,2.05,2.01,0.2,115
Drift,Chavos V6 (Drift),0.7175,-,-,26,132,AWD,18%,5,4.8,4.7,0.69,0.4475,1.53,1.525,1,"1,450"
Drift,Cheburek (Drift),0.7075,-,-,26,133.25,AWD,8%,4,4.8,4.7,0.59,0.35,1.53,1.525,1,1100
Drift,Cypher (Drift),0.7075,-,-,26,133.25,AWD,18%,5,4.8,4.7,0.83,0.24,1.53,1.525,1,1625
Drift,Dominator FX (Drift),0.72,-,-,26,133,AWD,16%,4,4.8,4.7,0.69,0.38,1.53,1.525,1,"1,200"
Drift,Dominator GT (Drift),0.7108,-,-,26,136,AWD,18%,6,4.8,4.7,0.93,0.425,1.53,1.525,0.9,"1,820"
Drift,Drift Tampa (Drift),0.712,-,-,26,139,AWD,22%,5,4.8,4.7,0.8,0.2,1.53,1.525,1,"1,097"
Drift,Drift Walton L35,0.716,-,-,26,133,AWD,25%,4,4.8,4.7,0.32,0.62,1.53,1.525,1,"1,455"
Drift,Drift Yosemite (Drift),0.718,-,-,26,125,AWD,25%,3,4.6,4.5,0.82,0.12,1.53,1.525,1,"1,198"
Drift,Euros (Drift),0.711,-,-,26,134.85,AWD,20%,4,4.8,4.7,0.85,0.22,1.53,1.525,1,"1,415"
Drift,FR36 (Drift),0.7125,-,-,26,133,AWD,18%,4,4.8,4.7,0.765,0.17,1.53,1.525,1,"1,510"
Drift,Futo (Drift),0.71,-,-,26,133,AWD,15%,4,4.8,4.7,0.66,0.28,1.53,1.525,1,900
Drift,Futo GTX (Drift),0.71,-,-,26,133,AWD,18%,4,4.8,4.7,0.765,0.2,1.53,1.525,1,"1,000"
Drift,Gauntlet Hellfire (Drift),0.71,-,-,26,137,AWD,21%,5,4.8,4.7,0.7,0.38,1.53,1.525,1,"2,150"
Drift,Hardy (Drift),0.7112,-,-,26,136,AWD,23%,5,4.8,4.7,0.5662,0.45,1.53,1.525,1,"1,350"
Drift,Jester Classic (Drift),0.711,-,-,26,134,AWD,18%,5,4.8,4.7,0.65,0.22,1.53,1.525,1,1600
Drift,Jester RR (Drift),0.706,-,-,26,132.5,AWD,18%,5,4.8,4.7,0.875,0.32,1.53,1.525,1,"1,525"
Drift,Keitora (Drift),0.6075,-,-,26,133,AWD,5%,4,4.8,4.7,0.285,0.62,1.53,1.525,0.35,670
Drift,Nebula Turbo (Drift),0.725,-,-,24.9,135.8,AWD,10%,4,4.8,4.7,0.74,0.2,1.53,1.525,1,1320
Drift,Remus (Drift),0.712,-,-,26,138.8,AWD,25%,4,4.5,4.4,0.87,0.26,1.53,1.525,1,"1,100"
Drift,RT3000 (Drift),0.71,-,-,26,133,AWD,15%,6,4.8,4.7,1,0.434,1.53,1.525,1,"1,275"
Drift,Sentinel Classic Widebody (Drift),0.716,-,-,26,134,AWD,15%,4,4.8,4.7,0.85,0.22,1.53,1.525,1,1040
Drift,Sentinel XS (Drift),0.71,-,-,26,134,AWD,15%,6,4.8,4.7,0.9,0.425,1.53,1.525,1,"1,400"
Drift,Vorschlaghammer (Drift),0.7085,-,-,25.75,135.2,AWD,25%,4,4.6,4.6,0.725,0.231,1.53,1.52,1,1270
Drift,ZR350 (Drift),0.708,-,-,26,132.8,AWD,25%,5,4.8,4.7,0.85,0.29,1.53,1.525,1,"1,295"
Emergency,Ambulance,0.18,-,-,6,140,AWD,50%,5,1.3,1.3,0.6,0.65,1.95,1.7,1,"2,500"
Emergency,Buffalo Cruiser,0.29,200,0.406,8.9,145,RWD,0%,5,2.3,2.3,0.9,0.425,2.45,2.2,1,"1,710"
Emergency,Buffalo STX Pursuit,0.3425,150,0.445,10.2,159.5,RWD,0%,8,4.45,4.45,0.95,0.425,2.58,2.4,1,"1,860"
Emergency,Burrito (Bail Enforcement),0.195,-,-,6,145,RWD,0%,5,1.8,1.8,0.6,0.52,2,1.85,1,2500
Emergency,Caracara Pursuit,0.27,140,0.346,12,138,AWD,50%,6,4.3,4.3,0.3,0.65,2.05,1.8,0.15,2580
Emergency,Coquette D10 Pursuit,0.32,160,0.422,9,160,RWD,0%,8,3.6,3.9,0.6,0.55,2.6,2.35,1,1660
Emergency,Dominator FX Interceptor,0.3,210,0.426,8,153,RWD,0%,5,1.5,1.4,0.69,0.38,2.383,2.226,1,1200
Emergency,Dorado Cruiser,0.21685,150,0.282,7.15,141.7,AWD,50%,4,1.5,1.4,0.5,0.425,1.845,1.7175,0.5,2150
Emergency,FIB (Buffalo),0.28,-,-,8.5,145,RWD,0%,5,2.1,2.1,0.9,0.425,2.45,2.2,1,"1,650"
Emergency,FIB (SUV),0.2,-,-,8.5,140,AWD,60%,5,2.1,2.1,0.8,0.6,2.15,1.85,0.8,"2,400"
Emergency,Fire Truck,0.16,-,-,5,130,RWD,0%,5,1.3,1.3,0.5,0.5,1.7,1.45,1,"7,500"
Emergency,Gauntlet Interceptor,0.362,180,0.492,10.6,155,RWD,0%,5,3.5,3.4,0.9,0.38,2.35,2.2,1,"2,150"
Emergency,Greenwood Cruiser,0.282,140,0.361,6,143,RWD,0%,3,1.8,1.8,0.7,0.468,2.3,2.065,1,1750
Emergency,Impaler LX Cruiser,0.3,210,0.426,9,145,RWD,0%,4,1.4,1.3,0.7,0.426,2.135,2,1,1630
Emergency,Impaler SZ Cruiser,0.25375,210,0.360,6.75,144,RWD,0%,4,1.6,1.5,0.865,0.44,2.3,2.19,1,1930
Emergency,Lifeguard,0.2,100,0.240,8.5,140,RWD,0%,5,1.3,1.3,0.8,0.6,2.05,1.85,0.8,"2,400"
Emergency,Outreach Faction,0.28,200,0.392,8,140,RWD,0%,5,1.9,1.9,0.8,0.65,2.25,1.9,1,1280
Emergency,Park Ranger,0.2,100,0.240,8.5,135,AWD,60%,5,1.7,1.7,0.8,0.6,2.15,1.85,0.8,"2,400"
Emergency,Police Bike (2013),0.27,-,-,9,135,RWD,0%,4,2,2,1.1,0.65,1.9,1.8,1,250
Emergency,Police Bike (2025),0.27,180,0.367,9,135,RWD,0%,4,2,2,1.1,0.65,1.9,1.8,1,250
Emergency,Police Cruiser (Buffalo),0.28,-,-,8.5,145,RWD,0%,5,2.1,2.1,0.9,0.525,2.4,2.15,1,"1,650"
Emergency,Police Cruiser (Interceptor),0.3,-,-,8.5,150,RWD,0%,5,2.1,2.1,1.2,0.425,2.57,2.49,1,"1,450"
Emergency,Police Cruiser (Stanier),0.2,-,-,6,145,RWD,0%,5,1.8,1.8,0.9,0.525,2.55,2.45,1,"1,400"
Emergency,Police Rancher,0.18,-,-,8.5,130,AWD,30%,5,1.7,1.7,0.8,0.6,1.95,1.75,0.8,"2,400"
Emergency,Police Riot,0.12,-,-,4,120,RWD,0%,5,1.3,1.3,0.25,0.68,1.65,1.4,1,"6,500"
Emergency,Police Roadcruiser,0.2,-,-,6,140,RWD,0%,5,1.7,1.7,0.9,0.425,2.15,1.85,1,"1,800"
Emergency,Police Transporter,0.16,-,-,6,130,RWD,0%,5,1.8,1.8,0.6,0.64,1.95,1.7,1,"2,500"
Emergency,Prison Bus,0.14,-,-,10,90,RWD,0%,4,1,1,0.25,0.65,1.35,1.2,0.9,"9,000"
Emergency,RCV,0.16,-,-,6.5,125,RWD,0%,5,1.3,1.3,0.3,0.68,1.75,1.5,1,"12,500"
Emergency,Sheriff Cruiser,0.24,-,-,8,145,RWD,0%,5,1.8,1.8,0.6,0.65,2.25,1.8,1,"1,400"
Emergency,Sheriff SUV,0.2,-,-,8.5,140,AWD,60%,5,2.1,2.1,0.8,0.6,2.15,1.85,0.8,"2,400"
Emergency,Stanier LE Cruiser,0.2,180,0.272,6,145,RWD,0%,5,1.8,1.8,0.9,0.525,2.55,2.45,1,"1,400"
Emergency,Terminus Patrol,0.269,260,0.409,9.435,148,AWD,50%,6,2.4,2.3,0.55,0.415,2.1875,2.0085,0.15,2100
Emergency,Unmarked Cruiser,0.2,100,0.240,6,145,RWD,0%,5,1.8,1.8,0.9,0.525,2.55,2.45,1,"1,400"
Industrial,Custom Flatbed,0.14,-,-,10,130,AWD,50%,5,1.3,1.3,0.25,0.65,1.65,1.5,0.9,"6,500"
Industrial,Cutter,0.16,-,-,80,40,AWD,50%,1,1.3,1.3,0.3,0.5,1.62,1.6,1,"25,000"
Industrial,Dock Handler,0.14,-,-,40,25,FWD,100%,1,1.3,1.3,0.1,0.4,1.85,1.8,0.5,"6,000"
Industrial,Dozer,0.14,-,-,300,15,AWD,50%,1,0.3,0.3,0.2,0.6,1.1,1.2,0,"20,000"
Industrial,Dump,0.19,-,-,74,43,RWD,0%,4,1.3,1.3,0.3,0.6,1.45,1.15,0.5,"35,000"
Industrial,Flatbed,0.14,-,-,10,130,AWD,50%,5,1.3,1.3,0.25,0.65,1.65,1.5,0.9,"6,500"
Industrial,Guardian,0.21,100,0.252,8,130,AWD,35%,6,1.8,1.8,0.6,0.65,2,1.75,0.8,"3,800"
Industrial,Mixer (3-Axle),0.11,-,-,4,110,RWD,0%,4,1.3,1.3,0.3,0.6,1.6,1.4,1,"6,000"
Industrial,Mixer (4-Axle),0.11,-,-,4,110,RWD,0%,4,1.3,1.3,0.3,0.6,1.6,1.4,1,"6,000"
Industrial,Rubble,0.14,-,-,6,100,RWD,0%,4,1.3,1.3,0.25,0.6,1.6,1.45,0.5,"6,500"
Industrial,Tipper (2-Axle),0.11,-,-,6,100,RWD,0%,4,1.3,1.3,0.25,0.6,1.6,1.4,1,"5,500"
Industrial,Tipper (3-Axle),0.11,-,-,6,100,RWD,0%,4,1.3,1.3,0.25,0.6,1.6,1.4,1,"5,500"
Military,APC,0.21,100,0.252,30,97,AWD,45%,4,3.3,2.3,0.2,0.4,2.4,2.2,0,"10,600"
Military,Barracks,0.11,-,-,4,110,RWD,0%,5,1.3,1.3,0.3,0.6,1.65,1.45,1,"9,000"
Military,Barracks Semi,0.23,-,-,12,110,RWD,0%,5,1.3,1.3,1,0.45,1.55,1.35,1,"10,000"
Military,Barrage,0.2225,100,0.267,8.6,135,AWD,50%,5,2,2.2,0.85,0.6,1.75,1.5,0.2,"2,500"
Military,Chernobog,0.12,100,0.144,14,95,AWD,40%,5,1.5,1.5,0.1,0.5,2,1.8,0.3,"40,000"
Military,Crusader,0.18,-,-,8,130,AWD,60%,5,1.3,1.3,0.3,0.65,1.9,1.6,0.5,"2,400"
Military,Half-Track,0.16,100,0.192,26,75,RWD,0%,4,2.3,2.3,0.2,0.6,2.3,2.1,0,"10,000"
Military,Invade and Persuade Tank,0.06,-,-,40.5,37,AWD,50%,1,1.3,1.3,0.15,0.6,2,1.75,0,500
Military,Rhino Tank,0.11,-,-,16,55,AWD,50%,1,1.3,1.3,0.2,0.6,2.5,2.4,0,"60,000"
Military,Scarab,0.1,100,0.120,9,100,AWD,50%,1,1.3,1.3,0.7,0.6,2.25,2.2,0,"5,000"
Military,Thruster,0.3,-,-,12,160,RWD,0%,1,1.3,1.3,0.4,0.6,1.3,1.2,1,301
Military,TM-02 Khanjali,0.1,100,0.120,18.5,57,AWD,50%,1,1.3,1.3,0.2,0.6,2.55,2.45,0,"30,000"
Military,Vetir,0.11,-,-,11,100,RWD,0%,5,1.3,1.3,0.3,0.6,1.52,1.45,1,"5,680"
Motorcycles,Akuma,0.4,100,0.480,10,145,RWD,0%,5,2,2,1.2,0.6,2.15,2.13,1,250
Motorcycles,Avarus,0.27,100,0.324,9,135,RWD,0%,5,1.3,1.3,1,0.65,1.85,1.75,1,230
Motorcycles,Bagger,0.21,100,0.252,9,130,RWD,0%,4,1.3,1.3,1.2,0.6,1.65,1.64,1,230
Motorcycles,Bati 801,0.3,100,0.360,8,150,RWD,0%,6,2,3,1.4,0.65,2.32,2.31,0.8,230
Motorcycles,BF400,0.29,100,0.348,10,145,RWD,0%,5,3,3,1.1,0.6,2.15,2.07,0,150
Motorcycles,Carbon RS,0.3,100,0.360,9,145,RWD,0%,5,2,2,1.3,0.6,2.15,2,1,250
Motorcycles,Chimera,0.275,100,0.330,15.75,135,RWD,0%,4,2.3,2.3,1,0.3,2.1,1.9,0,401
Motorcycles,Cliffhanger,0.318,100,0.382,8.8,147.5,RWD,0%,4,3,3,1.1,0.6,2.25,2.07,0.5,140
Motorcycles,Daemon,0.262,100,0.314,9,135,RWD,0%,5,1.3,1.3,0.6,0.65,1.85,1.75,1,250
Motorcycles,Daemon (Lost),0.26,100,0.312,9,135,RWD,0%,4,1.3,1.3,0.6,0.65,1.85,1.75,1,250
Motorcycles,Deathbike,0.3125,150,0.406,8.95,147,RWD,0%,4,3,3,1.1,0.6,2.05,1.7,0.5,135
Motorcycles,Defiler,0.405,100,0.486,12.5,148,RWD,0%,5,2,2,1.2,0.6,2.15,2.13,1,200
Motorcycles,Diabolus,0.312,100,0.374,9.4,142.5,RWD,0%,6,2.5,2.5,1.2,0.65,1.95,1.9,1,220
Motorcycles,Diabolus Custom,0.32,100,0.384,9.4,142.6,RWD,0%,6,2.75,2.75,1.25,0.65,2,1.925,1,210
Motorcycles,Double-T,0.31,100,0.372,9,147,RWD,0%,5,2,3,1.4,0.6,2.18,2.16,1,200
Motorcycles,Enduro,0.3,100,0.360,12.3,119,RWD,0%,4,3,3,1.05,0.6,2.16,2.08,0.5,220
Motorcycles,Esskey,0.295,100,0.354,10.275,145,RWD,0%,5,3,3,1.2,0.6,2.15,2.07,0.4,190
Motorcycles,Faggio,0.1,100,0.120,9,90,RWD,0%,3,1.3,1.3,0.4,0.7,1.6,1.4,1,100
Motorcycles,Faggio Mod,0.195,100,0.234,18,90,RWD,0%,3,1.5,1.3,0.4,0.7,1.7,1.5,1,100
Motorcycles,Faggio Sport,0.1975,100,0.237,17,95,RWD,0%,3,1.5,1.3,0.4,0.7,1.7,1.5,1,110
Motorcycles,FCR 1000,0.305,100,0.366,9.5,140,RWD,0%,6,2,2,1.2,0.6,2.1,2,1,210
Motorcycles,FCR 1000 Custom,0.31,100,0.372,9.5,140.2,RWD,0%,6,2.5,2.5,1.25,0.6,2.15,2.1,1,200
Motorcycles,Gargoyle,0.3125,100,0.375,8.95,147,RWD,0%,4,3,3,1.1,0.6,2.25,2.07,0.5,135
Motorcycles,Hakuchou,0.315,100,0.378,8.5,152,RWD,0%,6,2,3,1.4,0.65,2.3,2.29,0.8,250
Motorcycles,Hakuchou Drag,0.425,100,0.510,11.5,159,RWD,0%,6,6,3,1.4,0.45,2.9,2.8,0.8,270
Motorcycles,Hakuchou Drag (HSW),0.425,130,0.536,11.5,159,RWD,0%,6,6,3,1.4,0.45,2.9,2.8,0.8,270
Motorcycles,Hexer,0.26,100,0.312,9,135,RWD,0%,4,1.3,1.3,1,0.65,1.85,1.75,1,250
Motorcycles,Innovation,0.32,100,0.384,9.5,135,RWD,0%,4,1.3,1.3,1,0.65,1.9,1.8,1,250
Motorcycles,Lectro,0.28,100,0.336,10,140,RWD,0%,5,2,2,1.2,0.6,1.95,1.9,1,250
Motorcycles,Manchez,0.295,100,0.354,10.275,145,RWD,0%,5,3,3,1.2,0.6,2.15,2.07,0.4,190
Motorcycles,Manchez Scout,0.265,100,0.318,10.275,130,RWD,0%,5,3,3,0.8,0.6,2.12,2.02,0.4,160
Motorcycles,Manchez Scout C,0.272,80,0.316,10.575,130,RWD,0%,5,3,3,0.8,0.6,2.11,1.98,0.4,175
Motorcycles,Nemesis,0.3,100,0.360,10,140,RWD,0%,5,2,2,1.2,0.6,1.95,1.9,1,250
Motorcycles,Nightblade,0.31,100,0.372,9.5,142,RWD,0%,5,1.5,1.5,1.2,0.65,1.95,1.9,1,205
Motorcycles,Oppressor,0.4,100,0.480,12.5,148,RWD,0%,5,2,2,1.2,0.6,2.125,2.1,1,190
Motorcycles,Oppressor Mk II,0.38,100,0.456,12.5,148,RWD,0%,1,2,2,1.2,0.6,2.1,2,1,220
Motorcycles,PCJ 600,0.26,100,0.312,11,130,RWD,0%,5,2,2,1.3,0.6,2.05,2.02,0.6,250
Motorcycles,Pizza Boy,0.12,100,0.144,8.45,92.5,RWD,0%,3,1.5,1.5,0.33,0.6,1.66,1.63,1,120
Motorcycles,Powersurge,0.82,80,0.951,23.75,128.2,RWD,0%,1,2.5,2.5,1.3,0.545,2.365,2.215,1,255
Motorcycles,Rampant Rocket,0.382,100,0.458,16.75,142,RWD,0%,3,2.3,2.3,1,0.3,2.1,1.9,0,"1,140"
Motorcycles,Rat Bike,0.215,100,0.258,10,130,RWD,0%,5,1.3,1.3,1.2,0.6,1.65,1.64,1,180
Motorcycles,Reever,0.4085,80,0.474,11.95,151.2,RWD,0%,5,2.5,2.5,1.3,0.565,2.2,2.16,1,205
Motorcycles,Ruffian,0.34,100,0.408,10.5,140,RWD,0%,5,2,2,1.1,0.6,1.95,1.85,1,250
Motorcycles,Sanchez,0.28,100,0.336,12.3,118,RWD,0%,4,3,3,1.1,0.6,2.15,2.07,0.5,220
Motorcycles,Sanctus,0.405,100,0.486,14,144,RWD,0%,5,1.3,1.3,1,0.65,1.95,1.85,1,250
Motorcycles,Shinobi,0.3625,80,0.421,9.15,156.4,RWD,0%,6,4,4,1.25,0.545,2.3,2.285,1,165
Motorcycles,Shotaro,0.4,100,0.480,11,159.5,RWD,0%,6,2,3,1.4,0.65,2.7,2.6,0.8,230
Motorcycles,Sovereign,0.27,100,0.324,9,135,RWD,0%,4,2,2,1.1,0.65,1.9,1.8,1,250
Motorcycles,Stryder,0.36,100,0.432,15,130,RWD,0%,6,4.3,4.3,1.2,0.65,2.45,2.3,0,401
Motorcycles,Thrust,0.265,100,0.318,6.58,152,RWD,0%,6,2.3,2.3,1.5,0.6,1.98,1.94,1,270
Motorcycles,Vader,0.27,100,0.324,10,140,RWD,0%,5,2,2,1.1,0.72,1.9,1.85,1,230
Motorcycles,Vindicator,0.263,100,0.316,6,148,RWD,0%,6,2.3,2.3,1.52,0.6,1.98,1.94,1,280
Motorcycles,Vortex,0.4025,100,0.483,12.4,148,RWD,0%,5,2,2,1.2,0.6,2.15,2.13,1,190
Motorcycles,Wolfsbane,0.215,100,0.258,10,130,RWD,0%,5,1.3,1.3,1.2,0.6,1.65,1.64,1,180
Motorcycles,Zombie Bobber,0.29,100,0.348,9.75,137,RWD,0%,5,1.3,1.3,0.8,0.65,1.875,1.8,1,225
Motorcycles,Zombie Chopper,0.29,100,0.348,9.75,137,RWD,0%,5,1.3,1.3,0.8,0.65,1.875,1.8,1,225
Muscle,Arbiter GT,0.3315,100,0.398,10.85,148.5,RWD,0%,3,4.8,4.8,0.52,0.62,2.283,2.1275,1,"1,592"
Muscle,Arbiter GT (HSW),0.3315,155,0.434,10.85,148.5,RWD,0%,3,4.8,4.8,0.52,0.62,2.283,2.1275,1,"1,592"
Muscle,Beater Dukes,0.315,100,0.378,9.5,144,RWD,0%,5,1.7,1.9,0.75,0.65,2.2,1.77,1,"1,550"
Muscle,Blade,0.324,150,0.421,13,145,RWD,0%,5,2.6,2.6,0.8,0.65,2.23,1.7,0.9,"1,200"
Muscle,Brigham,0.21,220,0.302,8.5,136,RWD,0%,4,1.3,1.3,0.38,0.58,1.905,1.718,1,3170
Muscle,Broadway,0.195,220,0.281,8.2,126,RWD,0%,3,1.25,1.25,0.32,0.518,1.995,1.785,1,"1,570"
